"english";"russian";"difficulty"
"about";"о";A1
"above";"выше";A1
"action";"действие";A1
"activity";"активность";A1
"actor";"актер";A1
"add";"добавлять";A1
"address";"адрес";A1
"afraid";"испуганный";A1
"after";"после";A1
"afternoon";"после полудня";A1
"again";"снова";A1
"age";"возраст";A1
"agree";"соглашаться";A1
"airplane";"самолет";A1
"airport";"аэропорт";A1
"album";"альбом";A1
"all right";"всё в порядке";A1
"almost";"почти";A1
"alone";"один";A1
"along";"вдоль";A1
"already";"уже";A1
"also";"также";A1
"always";"всегда";A1
"am";"являюсь";A1
"and";"и";A1
"angry";"злой";A1
"animal";"животное";A1
"another";"другой";A1
"answer";"отвечать";A1
"any";"любой";A1
"anybody";"кто-нибудь";A1
"anything";"что-либо";A1
"apple";"яблоко";A1
"April";"апрель";A1
"apron";"фартук";A1
"arm";"рука";A1
"around";"вокруг";A1
"arrive";"приезжать";A1
"art";"искусство";A1
"article";"статья";A1
"as";"как";A1
"ask";"просить";A1
"at";"у";A1
"August";"Август";A1
"aunt";"тетя";A1
"autumn";"осень";A1
"awake";"бодрствующий";A1
"away";"прочь";A1
"baby";"малыш";A1
"back";"назад";A1
"bad";"плохой";A1
"bag";"сумка";A1
"ball";"мяч";A1
"banana";"банан";A1
"band";"группа";A1
"bank";"банк";A1
"bar";"бар";A1
"baseball";"бейсбол";A1
"basketball";"баскетбол";A1
"bat";"летучая мышь";A1
"bath";"ванна";A1
"bathroom";"ванная комната";A1
"be";"быть";A1
"beach";"пляж";A1
"bean";"боб";A1
"bear";"медведь";A1
"beautiful";"красивый";A1
"because";"потому что";A1
"become";"становиться";A1
"bed";"кровать";A1
"bedroom";"спальня";A1
"bee";"пчела";A1
"beef";"говядина";A1
"before";"до";A1
"begin";"начинать";A1
"behind";"позади";A1
"believe";"верить";A1
"bell";"колокол";A1
"below";"ниже";A1
"beside";"рядом";A1
"best";"лучший";A1
"better";"лучше";A1
"between";"между";A1
"bicycle";"велосипед";A1
"big";"большой";A1
"bird";"птица";A1
"birth";"рождение";A1
"birthday";"день рождения";A1
"biscuit";"бисквит";A1
"black";"черный";A1
"blank";"пустой";A1
"block";"блокировать";A1
"blow";"дуть";A1
"blue";"синий";A1
"board";"доска";A1
"boat";"лодка";A1
"body";"тело";A1
"bone";"кость";A1
"book";"книга";A1
"bookstore";"книжный магазин";A1
"boring";"скучный";A1
"borrow";"занимать";A1
"both";"оба";A1
"bottle";"бутылка";A1
"bottom";"нижний";A1
"bowl";"чаша";A1
"box";"коробка";A1
"boy";"мальчик";A1
"boyfriend";"парень";A1
"brain";"мозг";A1
"bread";"хлеб";A1
"break";"перерыв";A1
"breakfast";"завтрак";A1
"breathe";"дышать";A1
"bridge";"мост";A1
"bright";"яркий";A1
"bring";"приносить";A1
"broken";"сломанный";A1
"brother";"брат";A1
"brown";"коричневый";A1
"brush";"щетка";A1
"bucket";"ведро";A1
"build";"строить";A1
"building";"здание";A1
"burger";"бургер";A1
"bus";"автобус";A1
"business";"бизнес";A1
"busy";"занятый";A1
"but";"но";A1
"butter";"масло";A1
"butterfly";"бабочка";A1
"button";"кнопка";A1
"buy";"купить";A1
"by";"к";A1
"bye";"пока";A1
"cafe/café";"кафе/кофе";A1
"cake";"торт";A1
"call";"вызов";A1
"camera";"камера";A1
"camp";"лагерь";A1
"can";"может";A1
"candy";"конфеты";A1
"cap";"кепка";A1
"car";"машина";A1
"card";"карта";A1
"care";"забота";A1
"careful";"осторожный";A1
"carefully";"осторожно";A1
"carry";"нести";A1
"cartoon";"мультфильм";A1
"case";"случай";A1
"cat";"кот";A1
"catch";"ловить";A1
"CD";"компакт-диск";A1
"CD player";"CD-плеер";A1
"celebrate";"праздновать";A1
"celebration";"праздник";A1
"chair";"стул";A1
"change";"изменять";A1
"character";"характер";A1
"check";"проверять";A1
"cheese";"сыр";A1
"chicken";"курица";A1
"child";"ребенок";A1
"chocolate";"шоколад";A1
"choose";"выбирать";A1
"church";"церковь";A1
