'english_word';'russian_translation'
'exude';'источать'
'envisage';'предвидеть'
'headmistress';'директриса'
'mien';'выражение лица'
'timidity';'робость'
'unravel';'разгадать'
'concurrence';'согласие'
'unpromising';'бесперспективный'
'teem';'изобиловать'
'marvel';'удивляться'
'outpatient';'амбулаторный'
'corpse';'труп'
'apprentice';'ученик'
'constrained';'сдержанный'
'quirk';'галтель'
'indignant';'возмущенный'
'indignantly';'возмущенно'
'eccentricity';'эксцентричность'
'locomotive';'локомотив'
'locomotion';'передвижение'
'individualism';'индивидуализм'
'enthuse';'вызывать энтузиазм'
'belligerent';'воинственный'
'belligerence';'воинственность'
'stoicism';'стоицизм'
'deliberate';'преднамеренный'
'recluse';'отшельник'
'reclusive';'затворник'
'metalled';'металлизированный'
'brief';'краткий'
'oblique';'косой'
'facsimile';'факсимиле'
'shamble';'путаться'
'whir';'жужжание'
'blight';'портить'
'puritanical';'пуританский'
'brood';'выводок'
'disdainful';'презрительный'
'zoologist';'зоолог'
'zoology';'зоология'
'encumbrance';'обременение'
'encumber';'обременять'
'hypothesis';'гипотеза'
'hypothesize';'выдвигать гипотезу'
'hypothetical';'гипотетический'
'parasitic';'паразитический'
'plumage';'оперение'
'utilitarian';'утилитарный'
'utilize';'использовать'
'utility';'полезность'
'predilection';'пристрастие'
'commensurate';'соразмерный'
'commensurately';'соразмерно'
'vindicate';'оправдать'
'vindication';'оправдание'
'parable';'притча'
'poise';'уравновешенность'
'minster';'министр'
'wrack';'крушение'
'ironic';'ироничный'
'predecessor';'предшественник'
'ally';'союзник'
'callous';'бессердечный'
'callously';'бессердечно'
'derelict';'заброшенный'
'materialism';'материализм'
'materialistic';'материалистический'
'ferocity';'свирепость'
'utter';'полный'
'evokingly';'вызывающе'
'recitation';'декламация'
'equable';'уравновешенный'
'extant';'сохранившийся'
'denounce';'денонсировать'
'denunciation';'донос'
'echo';'эхо'
'requisition';'реквизиция'
'substantiate';'обосновать'
'inscrutable';'непостижимый'
'stratosphere';'стратосфера'
'indulge';'предаваться'
'indulgence';'снисходительность'
'indulgently';'снисходительно'
'laudatory';'хвалебный'
'laud';'хвалить'
'glitz';'блеск'
'glitzy';'блестящий'
'automate';'автоматизировать'
'apprehend';'задержать'
'athleticism';'атлетизм'
'daunt';'устрашать'
'daunting';'устрашающий'
'acreage';'площадь'
'affectation';'аффектация'
'imposition';'навязывание'
'circuit';'схема'
'stipulate';'оговаривать'
'stipulation';'оговорка'
'allot';'выделять'
'allotment';'выделение'
'anticlimactically';'разочаровывающий'
'forfeiture';'конфискация'
'blitz';'блиц'
